ticket_id,account,created_date,resolved_date,category,priority,status,resolution_hours,satisfaction_rating,agent_name
TKT-000276,dambase,2017-09-19,,bug_report,medium,escalated,,,Matthew Moore
TKT-000277,dambase,2017-02-12,,billing,low,open,,,Wayne Morgan
TKT-000278,dambase,2017-05-18,,feature_request,medium,waiting_on_customer,,,Marie Christian
TKT-000279,dambase,2017-11-03,2017-11-04,billing,high,resolved,36.0,4.0,Shannon James
TKT-000280,dambase,2017-10-31,,onboarding,high,open,,,Nathan Malone
TKT-000281,Domzoom,2017-11-08,2017-11-11,technical,medium,resolved,88.0,3.0,Amanda Jones
TKT-000282,Domzoom,2017-05-18,2017-05-24,feature_request,low,resolved,151.0,1.0,Tammie Bright
TKT-000283,Domzoom,2017-01-26,2017-01-26,feature_request,high,resolved,4.0,,Jessica Garcia
TKT-000284,Domzoom,2017-07-09,2017-07-09,bug_report,high,resolved,12.0,5.0,Shelia Wallace
TKT-000285,Domzoom,2017-11-09,2017-11-11,billing,medium,resolved,48.0,4.0,Stephanie Williams
TKT-000286,Domzoom,2017-04-18,,technical,medium,waiting_on_customer,,,Elaine Brooks
TKT-000287,Domzoom,2017-08-04,,billing,low,escalated,,,Joseph Knight
TKT-000288,Domzoom,2017-03-25,,account_management,low,open,,,Carolyn Miller
TKT-000289,Domzoom,2017-10-12,2017-10-15,technical,medium,resolved,89.0,,Lisa Allen
TKT-000290,Domzoom,2017-09-25,2017-09-30,onboarding,low,resolved,143.0,,Briana Murray
TKT-000291,Domzoom,2017-08-09,2017-08-09,technical,medium,resolved,13.0,5.0,David Smith
TKT-000292,Domzoom,2017-10-31,2017-11-03,technical,low,resolved,89.0,3.0,Stephanie Byrd
TKT-000293,Domzoom,2017-11-15,2017-11-16,technical,medium,resolved,37.0,4.0,Jeremy Reed
TKT-000294,Domzoom,2017-02-25,2017-03-01,technical,medium,resolved,98.0,4.0,Margaret Coleman
TKT-000295,Domzoom,2017-02-21,,billing,high,open,,,Ryan Gonzalez
TKT-000296,Domzoom,2017-05-17,2017-05-17,onboarding,medium,resolved,21.0,,John Young
TKT-000297,Domzoom,2017-04-23,2017-04-23,account_management,critical,resolved,2.0,4.0,Laura Haney
TKT-000298,Domzoom,2017-08-14,2017-08-17,billing,low,resolved,72.0,,William Barrett
TKT-000299,Domzoom,2017-05-20,2017-05-20,onboarding,high,resolved,18.0,5.0,Keith Jennings
TKT-000300,Domzoom,2017-01-13,2017-01-22,bug_report,low,resolved,236.0,2.0,Amber Obrien
TKT-000301,Domzoom,2017-07-20,2017-07-21,feature_request,high,resolved,31.0,4.0,Tanner Mitchell DDS
TKT-000302,Domzoom,2017-02-17,2017-02-23,billing,low,resolved,164.0,,Heather Fields
TKT-000303,Domzoom,2017-05-06,2017-05-07,billing,high,resolved,46.0,,Megan Le
TKT-000304,Domzoom,2017-03-30,2017-03-31,feature_request,medium,resolved,37.0,4.0,Sara Fuller
TKT-000305,Domzoom,2017-05-06,,technical,medium,waiting_on_customer,,,Maria Parker
TKT-000306,Domzoom,2017-02-28,2017-03-02,bug_report,medium,resolved,54.0,,Kevin Oconnor
TKT-000307,Domzoom,2017-08-25,2017-08-29,billing,low,resolved,108.0,1.0,Edward Burgess
TKT-000308,Domzoom,2017-06-03,2017-06-03,billing,medium,resolved,19.0,,Carlos Ryan
TKT-000309,Domzoom,2017-05-01,2017-05-01,account_management,high,resolved,9.0,,Kiara Mcintyre
TKT-000310,Doncon,2017-02-01,,bug_report,high,waiting_on_customer,,,Dawn Summers
TKT-000311,Doncon,2017-05-05,2017-05-09,technical,medium,resolved,116.0,,Dr. Paul Morgan
TKT-000312,Doncon,2017-10-13,2017-10-15,billing,medium,resolved,69.0,4.0,Victor Taylor
TKT-000313,Doncon,2017-10-07,2017-10-08,technical,medium,resolved,30.0,,Shannon Ramsey
TKT-000314,Doncon,2017-06-01,2017-06-03,bug_report,low,resolved,50.0,,Tracy Ballard
TKT-000315,Doncon,2017-03-15,2017-03-17,billing,medium,resolved,51.0,4.0,Richard Smith
TKT-000316,Doncon,2017-06-01,2017-06-02,technical,medium,resolved,26.0,,Jordan Chambers
TKT-000317,Doncon,2017-09-16,,billing,critical,waiting_on_customer,,,Lauren Carson
TKT-000318,Doncon,2017-01-17,2017-01-17,technical,high,resolved,5.0,5.0,Ashley Hall
TKT-000319,Doncon,2017-04-26,2017-04-27,feature_request,high,resolved,31.0,,Stephen Hoffman
TKT-000320,Doncon,2017-11-19,2017-11-19,feature_request,high,resolved,14.0,,Connie Brown
TKT-000321,Doncon,2017-02-01,2017-02-02,bug_report,high,resolved,30.0,4.0,Susan Turner
TKT-000322,Doncon,2017-09-16,,billing,low,open,,,Charles Shah
TKT-000323,Doncon,2017-10-01,2017-10-02,billing,medium,resolved,45.0,3.0,Johnathan Davis
TKT-000324,Doncon,2017-05-13,2017-05-15,onboarding,medium,resolved,50.0,,Brandy Chavez
TKT-000325,Doncon,2017-06-14,,technical,high,waiting_on_customer,,,Natalie Bautista
TKT-000326,Doncon,2017-01-30,2017-01-31,feature_request,medium,resolved,32.0,5.0,Patrick Moore
TKT-000327,Doncon,2017-08-23,2017-08-25,account_management,medium,resolved,56.0,,Brett Burns
TKT-000328,Doncon,2017-10-04,2017-10-06,feature_request,low,resolved,49.0,,Trevor Johnson
TKT-000329,Doncon,2017-12-09,2017-12-12,billing,medium,resolved,73.0,3.0,Jeremy Sampson
TKT-000330,Donquadtech,2017-03-24,,onboarding,high,open,,,Ariana Jennings
TKT-000331,Donquadtech,2017-12-01,,onboarding,medium,open,,,Vanessa Howard
TKT-000332,Donquadtech,2017-07-29,2017-07-30,technical,high,resolved,46.0,,Colton Martinez
TKT-000333,Donquadtech,2017-04-18,2017-04-20,technical,medium,resolved,57.0,,Jordan Bates
TKT-000334,Donquadtech,2017-02-01,2017-02-03,technical,medium,resolved,63.0,,Linda Smith
TKT-000335,Donquadtech,2017-09-14,2017-09-21,feature_request,low,resolved,191.0,2.0,Dana Martinez
TKT-000336,Donquadtech,2017-11-10,,onboarding,medium,escalated,,,Andrea Hubbard
TKT-000337,Donquadtech,2017-04-24,2017-04-26,feature_request,low,resolved,61.0,4.0,Daniel Kane
TKT-000338,Donquadtech,2017-11-06,2017-11-06,billing,critical,resolved,1.0,5.0,Charles Lester
TKT-000339,Donquadtech,2017-11-14,,onboarding,high,open,,,Scott Thomas
TKT-000340,Donquadtech,2017-06-04,,billing,low,waiting_on_customer,,,David Thompson
TKT-000341,Donquadtech,2017-11-15,,technical,medium,escalated,,,Allison Smith
TKT-000342,Donquadtech,2017-08-13,2017-08-13,account_management,high,resolved,12.0,4.0,Cynthia Morris
TKT-000343,Donquadtech,2017-04-28,2017-04-30,feature_request,medium,resolved,50.0,,Anthony Harmon
TKT-000344,Donquadtech,2017-05-18,2017-05-18,technical,critical,resolved,1.0,,Nichole Alvarez
TKT-000345,Donquadtech,2017-04-19,2017-04-22,technical,medium,resolved,81.0,3.0,Kayla Rodriguez
TKT-000346,Donquadtech,2017-07-13,2017-07-13,technical,high,resolved,21.0,5.0,Theresa Williams
TKT-000347,Donquadtech,2017-08-05,2017-08-07,account_management,medium,resolved,67.0,4.0,Sharon Boyd
TKT-000348,Donquadtech,2017-05-17,,technical,medium,waiting_on_customer,,,Victor Brown
TKT-000349,Donquadtech,2017-05-06,2017-05-07,billing,medium,resolved,24.0,,James Parks
TKT-000350,Donquadtech,2017-05-01,2017-05-04,onboarding,low,resolved,74.0,,Theodore Jones Jr.
TKT-000351,Dontechi,2017-07-03,,billing,low,open,,,Ana Hill
TKT-000352,Dontechi,2017-01-24,2017-01-30,account_management,low,resolved,156.0,,Kimberly Nguyen
TKT-000353,Dontechi,2017-09-05,2017-09-06,billing,high,resolved,28.0,,Kerry Chavez DDS
TKT-000354,Dontechi,2017-09-07,2017-09-08,feature_request,low,resolved,26.0,5.0,Michael Farrell
TKT-000355,Dontechi,2017-05-13,2017-05-14,billing,medium,resolved,34.0,,Patricia Le
TKT-000356,Dontechi,2017-10-27,2017-10-30,feature_request,medium,resolved,91.0,,Jesse Perez
TKT-000357,Dontechi,2017-01-20,2017-01-21,onboarding,medium,resolved,30.0,4.0,Jesse Perry
TKT-000358,Dontechi,2017-09-30,2017-10-01,billing,high,resolved,47.0,5.0,Jeffery Ortega
TKT-000359,Dontechi,2017-06-16,2017-06-18,onboarding,medium,resolved,65.0,3.0,Christian Leblanc
TKT-000360,Dontechi,2017-08-03,2017-08-04,account_management,medium,resolved,24.0,5.0,Ronald Davis
TKT-000361,Dontechi,2017-10-05,2017-10-05,feature_request,high,resolved,22.0,,Parker Cain
TKT-000362,Dontechi,2017-09-01,2017-09-03,account_management,low,resolved,49.0,4.0,Laurie Hoffman
TKT-000363,Dontechi,2017-08-19,2017-08-22,technical,medium,resolved,77.0,3.0,Bryan Gomez
TKT-000364,Dontechi,2017-12-23,,billing,low,escalated,,,Nicole Parrish
TKT-000365,Dontechi,2017-01-26,2017-01-28,billing,low,resolved,55.0,4.0,Tracy Burke
TKT-000366,Dontechi,2017-10-22,2017-10-24,onboarding,low,resolved,60.0,5.0,Kenneth Lewis
TKT-000367,Dontechi,2017-10-24,2017-10-31,technical,low,resolved,169.0,,Courtney Rodriguez
TKT-000368,Dontechi,2017-05-11,2017-05-12,technical,high,resolved,25.0,4.0,Holly Farmer
TKT-000369,Dontechi,2017-10-10,2017-10-12,billing,low,resolved,53.0,,Renee Bruce
TKT-000370,Dontechi,2017-03-14,2017-03-18,feature_request,medium,resolved,115.0,1.0,Sabrina Austin
TKT-000371,Dontechi,2017-08-01,2017-08-10,billing,low,resolved,234.0,4.0,Allison Hickman
TKT-000372,Dontechi,2017-09-27,2017-09-27,feature_request,high,resolved,4.0,4.0,Debra White
TKT-000373,Dontechi,2017-03-18,2017-03-23,account_management,low,resolved,132.0,3.0,Ellen Morgan
TKT-000374,Dontechi,2017-04-14,2017-04-16,onboarding,medium,resolved,69.0,,Sergio Knight
TKT-000375,Dontechi,2017-10-28,,billing,medium,open,,,Charles Schultz
TKT-000376,Dontechi,2017-01-14,,onboarding,medium,waiting_on_customer,,,Paul Lewis
TKT-000377,Dontechi,2017-02-14,2017-02-20,technical,low,resolved,147.0,2.0,Glen Wood
TKT-000378,Dontechi,2017-09-24,,technical,critical,open,,,Paula Bradley
TKT-000379,Dontechi,2017-03-14,,billing,medium,escalated,,,Anthony Moore
TKT-000380,Donware,2017-10-28,2017-10-28,technical,high,resolved,22.0,5.0,Megan Nelson
TKT-000381,Donware,2017-07-28,2017-07-28,onboarding,high,resolved,15.0,5.0,Karla Ramos
TKT-000382,Donware,2017-02-03,2017-02-05,onboarding,low,resolved,58.0,4.0,Paul Wilson
TKT-000383,Donware,2017-10-13,2017-10-22,technical,low,resolved,227.0,3.0,Douglas Gregory
TKT-000384,Donware,2017-12-14,2017-12-16,feature_request,low,resolved,58.0,,Mr. Andrew Foster
TKT-000385,Donware,2017-02-04,2017-02-07,feature_request,medium,resolved,91.0,3.0,Aimee Turner
TKT-000386,Donware,2017-10-01,2017-10-01,billing,high,resolved,4.0,,Chad Scott
TKT-000387,Donware,2017-10-05,2017-10-07,onboarding,medium,resolved,53.0,,Adam Burgess
TKT-000388,Donware,2017-04-03,2017-04-09,account_management,low,resolved,145.0,2.0,James Padilla
TKT-000389,Donware,2017-06-27,2017-07-01,billing,medium,resolved,119.0,2.0,Sandra Drake
TKT-000390,Donware,2017-01-02,2017-01-02,technical,high,resolved,7.0,,Scott Williams
TKT-000391,Donware,2017-01-20,2017-01-21,billing,low,resolved,27.0,5.0,Thomas Atkins
TKT-000392,Donware,2017-09-01,2017-09-03,technical,medium,resolved,59.0,,Laura Mckinney
TKT-000393,Donware,2017-08-28,2017-08-30,billing,medium,resolved,49.0,,Brian Smith
TKT-000394,Donware,2017-03-21,,technical,medium,open,,,Robert Montgomery
TKT-000395,Donware,2017-12-25,2017-12-25,technical,critical,resolved,7.0,,Tamara Davis
TKT-000396,Donware,2017-06-09,2017-06-09,onboarding,critical,resolved,5.0,,Dana Chapman
TKT-000397,Donware,2017-03-09,2017-03-11,account_management,medium,resolved,53.0,5.0,Jennifer Collins
TKT-000398,Donware,2017-02-26,2017-03-02,technical,medium,resolved,113.0,3.0,Gary Jackson
TKT-000399,Donware,2017-06-24,2017-06-25,technical,low,resolved,40.0,,Ashley Hicks
TKT-000400,Donware,2017-10-15,2017-10-22,bug_report,low,resolved,184.0,,Hannah Luna
TKT-000401,Donware,2017-09-18,2017-09-19,account_management,low,resolved,39.0,,Robin Young
TKT-000402,Donware,2017-05-12,,feature_request,medium,open,,,Craig Morrison
TKT-000403,Donware,2017-08-05,2017-08-12,billing,low,resolved,177.0,4.0,Mary Thompson
TKT-000404,Donware,2017-09-02,,account_management,low,waiting_on_customer,,,Kathleen Webster
TKT-000405,Donware,2017-11-18,2017-11-22,onboarding,low,resolved,109.0,,Joann Glass
TKT-000406,Fasehatice,2017-10-03,2017-10-05,technical,low,resolved,65.0,3.0,Madison Weber
TKT-000407,Fasehatice,2017-08-25,2017-08-27,billing,medium,resolved,54.0,4.0,Lori Hernandez
TKT-000408,Fasehatice,2017-10-12,2017-10-20,feature_request,low,resolved,203.0,1.0,Jeremy Turner
TKT-000409,Fasehatice,2017-05-29,,bug_report,critical,waiting_on_customer,,,Anthony Romero
TKT-000410,Fasehatice,2017-02-16,2017-02-19,technical,low,resolved,80.0,,Jesse Brown
TKT-000411,Fasehatice,2017-05-07,2017-05-12,account_management,low,resolved,142.0,,Angela Lin
TKT-000412,Fasehatice,2017-01-01,2017-01-04,onboarding,low,resolved,81.0,2.0,Lisa Hunter
TKT-000413,Fasehatice,2017-12-23,2017-12-24,account_management,high,resolved,47.0,,Julian Conner
TKT-000414,Fasehatice,2017-04-26,2017-04-27,technical,medium,resolved,27.0,5.0,Joanna Pacheco
TKT-000415,Fasehatice,2017-11-05,2017-11-06,account_management,high,resolved,24.0,,Erica Alvarez
TKT-000416,Fasehatice,2017-02-22,2017-02-28,technical,low,resolved,167.0,2.0,Antonio Garcia
TKT-000417,Fasehatice,2017-12-21,2017-12-28,technical,low,resolved,178.0,2.0,Gwendolyn Klein
TKT-000418,Faxquote,2017-11-28,,technical,high,escalated,,,Carrie Wright
TKT-000419,Faxquote,2017-03-02,2017-03-03,onboarding,medium,resolved,32.0,,Jeffrey Mills
TKT-000420,Faxquote,2017-03-01,2017-03-03,feature_request,medium,resolved,66.0,,Jake Campbell
TKT-000421,Faxquote,2017-09-10,2017-09-12,account_management,medium,resolved,66.0,5.0,George Harper
TKT-000422,Faxquote,2017-10-18,,onboarding,high,waiting_on_customer,,,Maria Jones
TKT-000423,Faxquote,2017-08-22,2017-08-23,onboarding,medium,resolved,25.0,5.0,Michael Mitchell
TKT-000424,Faxquote,2017-08-10,2017-08-11,onboarding,medium,resolved,34.0,5.0,Mary Escobar
TKT-000425,Faxquote,2017-10-11,2017-10-19,billing,low,resolved,214.0,1.0,Felicia Aguilar
TKT-000426,Faxquote,2017-04-30,,billing,low,open,,,Gregory Ponce
TKT-000427,Faxquote,2017-06-24,2017-06-28,billing,medium,resolved,105.0,4.0,Jenna Larson
TKT-000428,Faxquote,2017-04-16,2017-04-16,technical,critical,resolved,2.0,,Emily Bennett
TKT-000429,Faxquote,2017-12-30,,technical,medium,waiting_on_customer,,,Robin Santiago
TKT-000430,Faxquote,2017-03-02,2017-03-03,technical,high,resolved,24.0,4.0,Nancy Jennings
TKT-000431,Faxquote,2017-05-21,,billing,medium,open,,,Maria Henderson
TKT-000432,Faxquote,2017-08-09,2017-08-14,billing,low,resolved,139.0,1.0,Jack White
TKT-000433,Faxquote,2017-10-31,2017-11-01,technical,high,resolved,44.0,5.0,Travis Tucker
TKT-000434,Faxquote,2017-02-25,2017-02-25,bug_report,critical,resolved,4.0,5.0,Chad Jones
TKT-000435,Faxquote,2017-01-27,2017-01-28,account_management,low,resolved,38.0,3.0,Ashley Wise
TKT-000436,Faxquote,2017-02-16,2017-02-16,technical,critical,resolved,5.0,,Sophia Johnson
TKT-000437,Faxquote,2017-12-01,,account_management,high,open,,,Ralph Anderson
TKT-000438,Faxquote,2017-12-06,2017-12-07,billing,medium,resolved,33.0,,Christopher Guerra
TKT-000439,Faxquote,2017-10-30,2017-11-02,technical,medium,resolved,88.0,3.0,Rhonda Martin
TKT-000440,Finhigh,2017-03-31,2017-04-01,technical,medium,resolved,34.0,4.0,Jason Rhodes
TKT-000441,Finhigh,2017-08-13,,feature_request,medium,escalated,,,Jeremy Mitchell
TKT-000442,Finhigh,2017-04-20,2017-04-24,onboarding,medium,resolved,118.0,,Joann Ferguson
TKT-000443,Finhigh,2017-05-08,,technical,medium,escalated,,,Robert Harrison
TKT-000444,Finhigh,2017-06-13,2017-06-20,technical,low,resolved,171.0,,Holly Valentine
TKT-000445,Finhigh,2017-03-03,2017-03-04,technical,medium,resolved,42.0,4.0,Mrs. Diane Reyes
TKT-000446,Finhigh,2017-02-25,,technical,high,open,,,Tracy Montoya
TKT-000447,Finhigh,2017-08-10,2017-08-12,billing,medium,resolved,50.0,,Brenda Wright
TKT-000448,Finhigh,2017-03-17,2017-03-17,onboarding,critical,resolved,1.0,,Shelly Spencer
TKT-000449,Finhigh,2017-11-18,2017-11-20,account_management,low,resolved,55.0,4.0,Ryan Rosales
TKT-000450,Finhigh,2017-01-09,2017-01-13,bug_report,medium,resolved,117.0,3.0,Phillip Nelson
TKT-000451,Finhigh,2017-07-19,,technical,medium,escalated,,,Brittany Kim
TKT-000452,Finhigh,2017-11-10,2017-11-10,onboarding,medium,resolved,22.0,5.0,Courtney Hayes
TKT-000453,Finhigh,2017-02-08,,technical,medium,open,,,Alexander Brown
TKT-000454,Finhigh,2017-04-27,2017-04-27,onboarding,critical,resolved,6.0,,Cynthia Vang
TKT-000455,Finjob,2017-07-25,2017-07-29,billing,medium,resolved,100.0,1.0,Alfred Galvan
TKT-000456,Finjob,2017-07-06,2017-07-06,feature_request,critical,resolved,7.0,5.0,Marie Moody
TKT-000457,Finjob,2017-04-11,2017-04-15,feature_request,medium,resolved,97.0,,Dustin Gallegos
TKT-000458,Finjob,2017-02-11,2017-02-11,account_management,critical,resolved,2.0,5.0,Brenda Thornton
TKT-000459,Finjob,2017-11-06,2017-11-15,technical,low,resolved,239.0,3.0,Aaron Miller
TKT-000460,Finjob,2017-11-14,2017-11-15,billing,high,resolved,35.0,5.0,Ruben Dunn
TKT-000461,Finjob,2017-05-03,2017-05-06,onboarding,medium,resolved,81.0,2.0,Kelsey Rodriguez
TKT-000462,Finjob,2017-07-04,2017-07-08,account_management,medium,resolved,115.0,,Eric Williams
TKT-000463,Finjob,2017-11-29,2017-11-29,account_management,medium,resolved,14.0,4.0,Riley Bryant
TKT-000464,Finjob,2017-04-23,2017-04-23,account_management,high,resolved,13.0,5.0,Taylor Carlson
TKT-000465,Finjob,2017-04-07,2017-04-09,feature_request,medium,resolved,53.0,4.0,Jose Allen
TKT-000466,Finjob,2017-03-06,2017-03-10,onboarding,medium,resolved,103.0,3.0,Jeffrey Mendez
TKT-000467,Finjob,2017-05-07,2017-05-08,technical,medium,resolved,44.0,4.0,Jason Beck
TKT-000468,Finjob,2017-05-12,,feature_request,medium,escalated,,,William Jones
TKT-000469,Finjob,2017-08-09,2017-08-16,billing,low,resolved,187.0,4.0,Katie Mcneil
TKT-000470,Finjob,2017-10-07,2017-10-07,feature_request,critical,resolved,3.0,4.0,Jeanette Harrison
TKT-000471,Finjob,2017-02-03,2017-02-04,billing,medium,resolved,41.0,,Veronica King
TKT-000472,Finjob,2017-04-13,2017-04-16,feature_request,medium,resolved,75.0,1.0,Richard Cooper
TKT-000473,Finjob,2017-01-26,2017-01-27,billing,medium,resolved,36.0,4.0,Lori Ingram
TKT-000474,Finjob,2017-11-10,2017-11-10,onboarding,medium,resolved,20.0,5.0,Evelyn Williams
TKT-000475,Finjob,2017-11-22,2017-11-26,feature_request,medium,resolved,104.0,3.0,Robin Thompson
TKT-000476,Finjob,2017-02-22,,billing,high,escalated,,,Julie Dominguez
TKT-000477,Finjob,2017-06-26,,technical,low,open,,,Robin Brown
TKT-000478,Finjob,2017-10-31,2017-11-08,billing,low,resolved,211.0,2.0,Judith Carter
TKT-000479,Finjob,2017-07-02,2017-07-03,billing,high,resolved,40.0,3.0,Curtis Williams
TKT-000480,Funholding,2017-05-20,,technical,high,waiting_on_customer,,,Kaylee Hays
TKT-000481,Funholding,2017-11-09,,onboarding,high,open,,,Dawn Mullins
TKT-000482,Funholding,2017-02-10,2017-02-10,onboarding,high,resolved,17.0,,Howard Norman
TKT-000483,Funholding,2017-03-26,,onboarding,low,waiting_on_customer,,,Evelyn Martinez
TKT-000484,Funholding,2017-07-16,,account_management,low,open,,,Steve Paul
TKT-000485,Funholding,2017-12-09,,billing,critical,open,,,Jasmine Beltran
TKT-000486,Funholding,2017-10-31,2017-11-01,billing,high,resolved,38.0,,Jonathan Glass MD
TKT-000487,Funholding,2017-02-04,2017-02-04,technical,critical,resolved,6.0,,Monica Miller
TKT-000488,Funholding,2017-05-02,2017-05-06,bug_report,medium,resolved,97.0,,Samantha Gardner
TKT-000489,Funholding,2017-06-06,2017-06-11,onboarding,low,resolved,143.0,,Bobby Guerrero
TKT-000490,Funholding,2017-11-22,2017-11-26,billing,medium,resolved,102.0,2.0,Lance Simmons
TKT-000491,Funholding,2017-12-18,2017-12-24,billing,low,resolved,148.0,,Heather Williams
TKT-000492,Funholding,2017-02-22,2017-02-25,billing,medium,resolved,82.0,,Heather Bolton
TKT-000493,Funholding,2017-12-31,,technical,low,waiting_on_customer,,,William Gould
TKT-000494,Funholding,2017-02-15,2017-02-17,technical,medium,resolved,54.0,4.0,Mark Cox
TKT-000495,Funholding,2017-10-31,,bug_report,medium,open,,,Meghan Cisneros
TKT-000496,Funholding,2017-07-27,2017-07-28,technical,high,resolved,34.0,3.0,Lawrence Harrington
TKT-000497,Funholding,2017-06-22,,feature_request,high,open,,,Austin Osborne
TKT-000498,Funholding,2017-06-16,,technical,medium,waiting_on_customer,,,James Bradley
TKT-000499,Funholding,2017-08-21,,billing,medium,open,,,Meghan Rush
TKT-000500,Funholding,2017-01-15,2017-01-19,technical,medium,resolved,96.0,,Phillip Berry
TKT-000501,Ganjaflex,2017-08-29,2017-09-06,technical,low,resolved,209.0,2.0,Jennifer Banks
TKT-000502,Ganjaflex,2017-02-02,2017-02-02,technical,critical,resolved,1.0,4.0,Brian Fitzgerald
TKT-000503,Ganjaflex,2017-08-27,2017-08-28,billing,high,resolved,45.0,3.0,Mr. Justin Green III
TKT-000504,Ganjaflex,2017-01-10,2017-01-14,technical,low,resolved,104.0,4.0,Zachary Mitchell
TKT-000505,Ganjaflex,2017-04-12,,technical,high,open,,,Katherine Martinez
TKT-000506,Ganjaflex,2017-03-09,,bug_report,medium,open,,,Jodi Roach
TKT-000507,Ganjaflex,2017-06-29,2017-07-04,technical,low,resolved,138.0,2.0,Brandon Fleming
TKT-000508,Ganjaflex,2017-05-17,2017-05-19,billing,medium,resolved,66.0,,Emma Reed
TKT-000509,Ganjaflex,2017-03-21,2017-03-21,billing,critical,resolved,6.0,,Joshua Vance
TKT-000510,Ganjaflex,2017-02-16,2017-02-18,account_management,medium,resolved,50.0,,Michelle Ho
TKT-000511,Ganjaflex,2017-05-05,2017-05-08,onboarding,medium,resolved,81.0,,Rebecca Hicks
TKT-000512,Ganjaflex,2017-02-27,2017-02-27,bug_report,high,resolved,5.0,4.0,Curtis Taylor
TKT-000513,Ganjaflex,2017-01-29,2017-02-02,feature_request,low,resolved,106.0,2.0,Allison Spencer
TKT-000514,Ganjaflex,2017-07-06,2017-07-07,technical,medium,resolved,47.0,,Robert Arnold
TKT-000515,Ganjaflex,2017-10-25,2017-11-03,technical,low,resolved,219.0,3.0,Angelica Parker
TKT-000516,Ganjaflex,2017-11-27,2017-11-27,billing,critical,resolved,3.0,5.0,Dr. Kelly Hammond DVM
TKT-000517,Ganjaflex,2017-03-24,2017-04-02,technical,low,resolved,218.0,3.0,William Day
TKT-000518,Ganjaflex,2017-11-25,2017-11-25,technical,medium,resolved,23.0,,Michael Cooper
TKT-000519,Ganjaflex,2017-02-21,,billing,low,open,,,Penny Bowman
TKT-000520,Ganjaflex,2017-01-04,2017-01-06,billing,low,resolved,67.0,5.0,Vincent Reynolds
TKT-000521,Ganjaflex,2017-08-21,2017-08-25,billing,medium,resolved,116.0,3.0,Amy Martinez
TKT-000522,Ganjaflex,2017-06-20,,account_management,medium,waiting_on_customer,,,Christopher Morris
TKT-000523,Ganjaflex,2017-05-01,2017-05-03,technical,medium,resolved,67.0,,Hannah Everett
TKT-000524,Ganjaflex,2017-05-13,2017-05-15,billing,medium,resolved,68.0,,Sarah King
TKT-000525,Ganjaflex,2017-07-18,2017-07-18,billing,medium,resolved,22.0,,Krista Martinez
TKT-000526,Ganjaflex,2017-10-17,2017-10-21,billing,medium,resolved,108.0,4.0,Joseph Shaw
TKT-000527,Ganjaflex,2017-01-28,,account_management,low,open,,,Todd Moore
TKT-000528,Ganjaflex,2017-11-11,2017-11-18,billing,low,resolved,185.0,3.0,Michelle Jacobs
TKT-000529,Ganjaflex,2017-04-14,2017-04-23,account_management,low,resolved,221.0,1.0,Kristy Bryan
TKT-000530,Gekko & Co,2017-10-08,2017-10-09,onboarding,medium,resolved,37.0,5.0,Angel May
TKT-000531,Gekko & Co,2017-11-29,2017-11-30,account_management,high,resolved,42.0,,Marilyn Wang
TKT-000532,Gekko & Co,2017-08-13,,billing,low,waiting_on_customer,,,Mark Jimenez
TKT-000533,Gekko & Co,2017-04-11,,feature_request,low,waiting_on_customer,,,Donna Frye
TKT-000534,Gekko & Co,2017-09-11,2017-09-13,technical,low,resolved,59.0,4.0,Dr. Michael Evans
TKT-000535,Gekko & Co,2017-07-20,2017-07-20,technical,medium,resolved,22.0,5.0,Anthony Gonzales
TKT-000536,Gekko & Co,2017-07-25,2017-07-27,onboarding,medium,resolved,49.0,5.0,Mr. Lawrence Edwards
TKT-000537,Gekko & Co,2017-01-15,2017-01-15,technical,critical,resolved,3.0,5.0,Morgan Valencia
TKT-000538,Gekko & Co,2017-03-20,2017-03-21,bug_report,high,resolved,45.0,,Bianca Wood
TKT-000539,Gekko & Co,2017-06-03,2017-06-04,feature_request,medium,resolved,40.0,,Emma Owens
TKT-000540,Gekko & Co,2017-06-24,2017-06-26,technical,medium,resolved,50.0,,David Davis
TKT-000541,Gekko & Co,2017-12-20,2017-12-20,technical,high,resolved,8.0,5.0,James Gilbert
TKT-000542,Gekko & Co,2017-10-10,2017-10-12,feature_request,medium,resolved,56.0,3.0,Sean Moore
TKT-000543,Gekko & Co,2017-03-24,2017-03-24,onboarding,critical,resolved,5.0,4.0,Kenneth Edwards
TKT-000544,Gekko & Co,2017-06-15,,bug_report,medium,waiting_on_customer,,,Kathleen Robertson
TKT-000545,Gekko & Co,2017-05-14,2017-05-17,onboarding,medium,resolved,92.0,,Mr. Alexander Landry MD
TKT-000546,Gekko & Co,2017-11-10,2017-11-14,technical,low,resolved,115.0,4.0,Cindy Gomez
TKT-000547,Gekko & Co,2017-04-06,2017-04-09,billing,medium,resolved,90.0,4.0,Johnny Khan
TKT-000548,Gekko & Co,2017-05-25,2017-05-28,feature_request,medium,resolved,74.0,,Julie Herrera
TKT-000549,Gekko & Co,2017-02-05,2017-02-05,billing,critical,resolved,5.0,,Jessica Khan
TKT-000550,Gekko & Co,2017-05-23,2017-05-25,technical,medium,resolved,50.0,4.0,Pamela Diaz
TKT-000551,Gekko & Co,2017-07-13,2017-07-15,bug_report,medium,resolved,68.0,4.0,Kelly Lee
TKT-000552,Gekko & Co,2017-08-30,2017-08-30,technical,medium,resolved,12.0,,Angel Gordon
